CERT,GRADING COMPANY,Item Name,Pop,CL,MP,LS,List,LV,Note,Days on Shelf,Status,Listed Date,Last Alert,Cost Basis,Location,Intake Date
6060285026,CGC,CGC Gem Mint 10 Reviving Legends Scizor #048 1st Edition Holo POP 20 Japanese,20,1120,61.66,,1300,,"PSA10 last: $400, $650, $575; CGC Gem Mint 10 last: $50, $40, $95; List via PSA10 $1300; pop 20",,IN_STOCK,,,,warehouse,
6017963122,CGC,CGC Pristine 10 Wind from the Sea Kingdra #089 Holo POP 1 Japanese,1,6499.99,3433.33,,5799.99,,"PSA10 last: $6500, $2500, $1300; List via PSA10 $5800; MP via PSA10 (pristine floor); dropped noisy: CGC Pristine 10(33.3x),CGC10(33.3x); pop 1",,IN_STOCK,,,,warehouse,
6143584009,CGC,CGC Pristine 10 Mega Charizard X ex #223 Mega Attack Rare Holo POP 3 Japanese,3,160,243.63,,449.99,,"PSA10 last: $220, $267; CGC Pristine 10 last: $160; PSA9 floor $75; MP via PSA10 floor (was CGC Pristine 10); pop 3",,IN_STOCK,,,,warehouse,
6060285020,CGC,CGC Pristine 10 Scizor #037 McDonald's Promotion POP 1 Japanese,1,,111.65,,,,"CGC Pristine 10 last: $90, $150, $95; PSA9 floor $300; dropped noisy: PSA10(7.8x); pop 1",,IN_STOCK,,,,warehouse,
6092240093,CGC,CGC 9 Triumphant Magnezone #96 Holo,,52,42.82,,,,"CGC 9 last: $53, $37, $38; dropped noisy: PSA10(5.5x)",,IN_STOCK,,,,warehouse,
6143584020,CGC,CGC Pristine 10 Terastal Fest ex Eevee ex #223 Special Art Rare POP 1 Japanese,1,94.96,105.68,,124.95,,"PSA10 last: $108, $100, $109; CGC Pristine 10 last: $39, $63, $50; PSA9 floor $50; MP via PSA10 floor (was CGC Pristine 10); pop 1",,IN_STOCK,,,,warehouse,
6143584034,CGC,CGC Pristine 10 Iris's Fighting Spirit #247 Special Art Rare POP 175 Japanese,175,,127.33,,175,,"CGC Pristine 10 last: $95, $197, $90; PSA9 floor $51; List via PSA10 $175; dropped noisy: PSA10(6.5x)",,IN_STOCK,,,,warehouse,
6143584124,CGC,CGC Pristine 10 Violet ex Slowpoke #082 Art Rare Holo POP 32 Japanese,32,55,76.6,,84,,"PSA10 last: $110, $64, $56; CGC Pristine 10 last: $50, $45, $40; MP via PSA10 floor (was CGC Pristine 10); pop 32",,IN_STOCK,,,,warehouse,
6092240235,CGC,CGC 8 EX Team Rocket Returns Dark Octillery #8 Reverse Holo,,108.3,,,240,,"⚠ INCONSISTENT CL=$68 eBay=$240 (3.5x); PSA10 last: $122, $192; CGC 8 last: $92, $47, $65; PSA9 floor $140",,IN_STOCK,,,,warehouse,
6143584098,CGC,CGC Pristine 10 Mega Gengar ex #230 Mega Attack Rare Holo POP 4 Japanese,4,137.5,140.53,,,,"PSA10 last: $168, $113; CGC Pristine 10 last: $50, $55; MP via PSA10 floor (was CGC Pristine 10); pop 4",,IN_STOCK,,,,warehouse,
6092232014,CGC,CGC Pristine 10 Magneton #159 Surging Sparks Pokémon Center ETB POP 92,92,,168.33,,175,,"PSA10 last: $250, $125, $130; CGC Pristine 10 last: $105, $40, $40; PSA9 floor $19; MP via PSA10 floor (was CGC Pristine 10)",,IN_STOCK,,,,warehouse,
6143584128,CGC,CGC Pristine 10 Mega Dream ex N's Zekrom #210 Art Rare Holo POP 2 Japanese,2,48,78.32,,79,,"PSA10 last: $80, $90, $65; CGC Pristine 10 last: $45, $55, $51; MP via PSA10 floor (was CGC Pristine 10); pop 2",,IN_STOCK,,,,warehouse,
6143584022,CGC,CGC Pristine 10 Steven's Metagross ex #245 Special Art Rare Japanese,302,,141.26,,150,,"PSA10 last: $135, $136, $152; CGC Pristine 10 last: $110; MP via PSA10 floor (was CGC Pristine 10)",,IN_STOCK,,,,warehouse,
6026288122,CGC,CGC Pristine 10 Starmie V #083 Character Super Rare Holo POP 87 Japanese,87,279.99,265,,274.99,,"PSA10 last: $240; CGC Pristine 10 last: $240, $290; List via PSA10 $275",,IN_STOCK,,,,warehouse,
6092232101,CGC,CGC Pristine 10 Cynthia's Garchomp ex #087 Special Art Rare Japanese,238,,198.92,,359.99,359.99,"🏆 LV is cheapest. PSA10 last: $125, $122, $350; CGC Pristine 10 last: $125, $26, $71; MP via PSA10 floor (was CGC Pristine 10)",17,EBAY LISTED,2026-04-27,,,warehouse,
6092259037,CGC,CGC Pristine 10 Crown Zenith Suicune V #GG38 Galarian Gallery,227,341,256.65,,339.99,329.99,"PSA10 last: $265, $250, $255; CGC Pristine 10 last: $300, $225, $200; PSA9 floor $75; MP via PSA10 floor (was CGC Pristine 10)",1,SOLD,2026-04-27,,,warehouse,
6060288002,CGC,CGC Pristine 10 Shining Darkness Blastoise Holo POP 3 Japanese,3,201,840,,,999.99,"PSA10 last: $930, $840, $750; CGC Pristine 10 last: $162; MP via PSA10 floor (was CGC Pristine 10); dropped noisy: CGC10(5.0x); pop 3",19,EBAY LISTED,2026-04-25,,,warehouse,
6092213229,CGC,CGC Pristine 10 Surging Sparks Milotic ex #237 Special Illustration Rare POP 60,60,350,330,,439.99,,"PSA10 last: $320, $320, $350; CGC Pristine 10 last: $175, $100, $106; PSA9 floor $150; MP via PSA10 floor (was CGC Pristine 10)",,IN_STOCK,,,,warehouse,
6060344007,CGC,CGC Pristine 10 Scarlet & Violet 151 Psyduck #175 Illustration Rare POP 56,56,67,408.33,,439.99,399.99,"PSA10 last: $375, $400, $450; CGC10 last: $132, $100, $190; PSA9 floor $75; MP via PSA10 floor (was CGC10); dropped noisy: CGC Pristine 10(8.4x)",17,EBAY LISTED,2026-04-27,,,warehouse,
6017639002,CGC,CGC Pristine 10 Super Electric Breaker Pikachu ex #132 Special Art Rare Japanese,250,733.84,710,,825,899.99,"PSA10 last: $780, $875, $475; CGC Pristine 10 last: $450, $260, $409; List via PSA10 $825; MP via PSA10 floor (was CGC Pristine 10)",17,EBAY LISTED,2026-04-28,,,warehouse,
6092232015,CGC,CGC Pristine 10 Charizard ex #234 Special Illustration Rare POP 165,165,1300,949.66,,999,,"PSA10 last: $999, $900, $950; CGC Pristine 10 last: $895; PSA9 floor $350; List via PSA10 $999; MP via PSA10 floor (was CGC Pristine 10)",,IN_STOCK,,,,warehouse,
6092220078,CGC,CGC 9 EX Unseen Forces Suicune ☆ #115 Holo,,1864.56,1799.66,,,,"CGC 9 last: $1800, $1999, $1600; dropped noisy: PSA10(11.5x)",,IN_STOCK,,,,warehouse,
6077540037,CGC,CGC Gem Mint 10 Sylveon ex #156 Special Illustration Rare POP 197,197,528,417,,799,,"PSA10 last: $1425, $950, $991; CGC Gem Mint 10 last: $417; PSA9 floor $430",,IN_STOCK,,,,warehouse,
6060434109,CGC,CGC Gem Mint 10 Lost Origin Giratina V #186 Ultra Rare,536,1899.99,1220.33,,1999.99,1999.99,"🏆 LV is cheapest. PSA10 last: $3000, $2702, $2300; CGC Gem Mint 10 last: $1600, $1250, $811; PSA9 floor $2000; dropped noisy: CGC10(1600.0x)",17,EBAY LISTED,2026-04-28,,,warehouse,
6092259285,CGC,CGC Pristine 10 Stellar Crown Dachsbun ex #169 Special Illustration Rare POP 17,17,170,194.5,,,1099.99,"PSA10 last: $171, $232, $180; CGC Pristine 10 last: $110, $80, $40; PSA9 floor $85; MP via PSA10 floor (was CGC Pristine 10); pop 17",9,EBAY LISTED,2026-05-05,,,warehouse,
6092240087,CGC,CGC Gym Heroes Sabrina's Gengar #14 Holo,,110.5,3799.67,,7999.95,,"PSA10 last: $17500, $17500, $23335; CGC10 last: $4500, $5000, $1899; PSA9 floor $4000; MP via CGC10; dropped noisy: CGC(7.3x)",,IN_STOCK,,,,warehouse,
6028398291,CGC,CGC Pristine 10 VSTAR Universe Pikachu #205 Art Rare Holo POP 167 Japanese,167,540,185.5,,888,,CGC Pristine 10 last: $186; List via PSA10 $888; dropped noisy: PSA10(5.3x),,IN_STOCK,,,,warehouse,
6060344035,CGC,CGC Pristine 10 Scarlet & Violet 151 Caterpie #172 Illustration Rare POP 35,35,190,153.31,,399.99,399.99,"🏆 LV is cheapest. PSA10 last: $175, $150, $135; CGC Pristine 10 last: $100, $155, $203; PSA9 floor $35; MP via PSA10 floor (was CGC Pristine 10); pop 35",17,EBAY LISTED,2026-04-27,,,warehouse,
6092217122,CGC,CGC Pristine 10 Black Bolt Serperior ex #164 Special Illustration Rare POP 34,34,110,111.66,,129.99,129.99,"🏆 LV is cheapest. PSA10 last: $110, $125, $100; CGC Pristine 10 last: $84, $40, $60; PSA9 floor $50; MP via PSA10 floor (was CGC Pristine 10); pop 34",17,EBAY LISTED,2026-04-27,,,warehouse,
0119199800000000004254968109,CGC,,,,,,,,,,,,,,,
60361673,PSA,PSA 10 Sun & Moon Celestial Storm Blaziken 28 POP 165,165,210,201.46,242.5,275,,"242, 171, 190, 247, 275",,IN_STOCK,,,,warehouse,
148893280,PSA,PSA 10 Nullifying Zero mega Clefable SAR 112 Japanese,304,135,112.36,102.5,149.99,,"102, 116, 136, 104, 104; JP $97",,IN_STOCK,,,,warehouse,
107307725,PSA,PSA 10 Ssp En-surging Sparks Mesprit IR 204,1925,164,123.19,134.99,350,,"135, 120, 120, 115, 126",,IN_STOCK,,,,warehouse,
75829740,PSA,PSA 9 Neo Genesis 1st Edition Lugia 1st Ed 9,604,805.92,14464.8,14853.2,,,"14853, 15300, 14906, 12800, 13200",,IN_STOCK,,,,warehouse,
92908008,PSA,PSA 10 Promo Bulbasaur 051 POP 70 Japanese,70,570.6,1479.17,2225,,,"2225, 2000, 212, 267, 163; rare pop 70",,IN_STOCK,,,,warehouse,
152422276,PSA,PSA 10 Shiny Treasure EX Mew SAR 347 Japanese,24037,999.99,835.1,304.88,999.99,,"305, 940, 955, 951, 1025; JP $877",,IN_STOCK,,,,warehouse,
112072663,PSA,PSA 10 Svp En-sv Black Star Promo Magneton 159,9568,129.99,308.24,299.99,130.89,,"300, 330, 295, 326, 290",,IN_STOCK,,,,warehouse,
110436353,PSA,PSA 10 Obf En-obsidian Flames Cleffa IR 202,3008,450,442,450,469.99,,"450, 490, 420, 450, 400",,IN_STOCK,,,,warehouse,
112925717,PSA,PSA 9 Svp En-sv Black Star Promo Mew 053,30244,139,126.02,117.5,100,,"118, 138, 104, 125, 145",,IN_STOCK,,,,warehouse,
95041075,PSA,PSA 10 Par En-paradox Rift Altaria SIR 253,2029,340,347.19,340,399.98,,"340, 400, 341, 335, 320",,IN_STOCK,,,,warehouse,
112500230,PSA,PSA 10 Jtg En-journey Together Salamence SIR 187,3822,300,308.8,300,325,,"300, 314, 304, 316, 310",,IN_STOCK,,,,warehouse,
130892087,PSA,PSA 10 Ssp En-surging Sparks Milotic SIR 237,5184,450,338.79,350,350,,"350, 350, 339, 305, 350",,IN_STOCK,,,,warehouse,
99444080,PSA,PSA 10 Sfa En-shrouded Fable Persian IR 078,3614,325,351.55,333,375,,"333, 320, 380, 370, 355",,IN_STOCK,,,,warehouse,
67910208,PSA,PSA 9 Advent Of Arceus Charizard 017 POP 56 Japanese,56,287.62,63.8,79.99,600,,"80, 52, 59, 52, 56; rare pop 56",,IN_STOCK,,,,warehouse,
112906183,PSA,PSA 10 Obf En-obsidian Flames Cleffa IR 202,3001,450,437.99,439.99,469.99,,"440, 380, 480, 446, 444",,IN_STOCK,,,,warehouse,
109312424,PSA,PSA 10 Terastal Fest EX Dragapult SAR 221 Japanese,4465,52,49.2,52,54.99,,"52, 55, 50, 42, 47; JP $46",,IN_STOCK,,,,warehouse,
153792669,PSA,PSA 9 Dri En-destined Rivals Rocket's SIR 231,6479,510,571.6,549.99,599,,"550, 570, 608, 530, 600",,IN_STOCK,,,,warehouse,
138762219,PSA,PSA 10 Sfa En-shrouded Fable Dusknoir IR 070,1420,90,91.88,90,105,,"90, 100, 105, 74, 90",,IN_STOCK,,,,warehouse,
138762218,PSA,PSA 10 Sfa En-shrouded Fable Dusclops IR 069,1006,42,176.8,130,224.99,,"130, 180, 176, 200, 198",,IN_STOCK,,,,warehouse,
153595237,PSA,PSA 10 Inferno X mega Charizard SAR 110 Japanese,37548,1370,1310.6,1399,1395,,"1399, 1255, 1400, 1299, 1200; JP $1182",,IN_STOCK,,,,warehouse,
140432586,PSA,PSA 10 Mega Dream EX Iono's SAR 236 Japanese,2954,117.38,132.85,117.38,135,,"117, 140, 122, 130, 155; JP $122",,IN_STOCK,,,,warehouse,
137286240,PSA,PSA 10 The Town On No Map Togetic 1st Ed 062 Japanese,325,1630,1223.67,599.93,1899.99,,"600, 1725, 1375, 1195, 1300",,IN_STOCK,,,,warehouse,
122332890,PSA,PSA 9 Gym Heroes Blaine's 1,526,686.77,299.8,349,450,,"349, 275, 350, 270, 255",,IN_STOCK,,,,warehouse,
65162057,PSA,PSA 9 Cry From The Mysterious Rayquaza 1st Ed 442 Japanese,252,272,549.99,549.99,,,"550, 244, 190, 166, 156",,IN_STOCK,,,,warehouse,
119456965,PSA,PSA 9 Tag Team GX All Stars Blue's 193 Japanese,1656,242.5,245,269.99,284.99,,"270, 220, 211, 275, 280",,IN_STOCK,,,,warehouse,
67910206,PSA,PSA 9 Shining Darkness Charizard 006 Japanese,333,390,193.83,250,396.69,,"250, 90, 241, 300, 200",,IN_STOCK,,,,warehouse,
103574871,PSA,PSA 9 Xy Steam Siege Gardevoir 116,1251,215,178.45,150,,,"150, 190, 210, 190, 152",,IN_STOCK,,,,warehouse,
118307338,PSA,PSA 10 Sword & Shield Fusion Strike Genesect 255,2410,110,117.87,126,149.95,,"126, 82, 118, 117, 146",,IN_STOCK,,,,warehouse,
113918149,PSA,PSA 10 Sv-p Promo Iono's 232 Japanese,58173,47,34,35,40,,"35, 41, 30, 38, 26",,IN_STOCK,,,,warehouse,
66547154,PSA,PSA 10 Sword & Shield Chilling Reign Blaziken 201,6539,875,811.6,851,949,,"851, 830, 780, 777, 820",,IN_STOCK,,,,warehouse,
140432572,PSA,PSA 10 Mega Dream EX Iris's SAR 247 Japanese,847,119.8,120.2,130,130,,"130, 128, 111, 120, 112; JP $108",,IN_STOCK,,,,warehouse,
117582007,PSA,PSA 10 Sword And Shield Crown Zenith Manaphy GG06,459,180,120,110,349.99,,"110, 130, 120, 130, 96",,IN_STOCK,,,,warehouse,
112906161,PSA,PSA 10 Swsh Black Star Promo Galarian 284,3021,290,294.38,310,344.49,,"310, 254, 283, 350, 275",,IN_STOCK,,,,warehouse,
112906160,PSA,PSA 10 Swsh Black Star Promo Galarian 284,3021,290,294.38,310,344.49,,"310, 254, 283, 350, 275",,IN_STOCK,,,,warehouse,
111923179,PSA,PSA 9 Scr En-stellar Crown Bulbasaur IR 143,17042,115.54,112.52,120,125,,"120, 120, 100, 118, 105",,IN_STOCK,,,,warehouse,
78985420,PSA,PSA 9 Fossil Hitmonlee 1st Ed 7,1416,314,242.51,196.69,2495,,"197, 245, 219, 288, 264",,IN_STOCK,,,,warehouse,
141573148,PSA,PSA 10 Mega Dream EX N's SAR 242 Japanese,2366,178.5,174.18,166.42,199.99,,"166, 170, 173, 178, 184; JP $131",,IN_STOCK,,,,warehouse,
133595007,PSA,Promo Giovanni's 277 POP 3 Japanese,3,21100,,,50000,,rare pop 3,,IN_STOCK,,,,warehouse,
128946424,PSA,PSA 10 S Promo Lugia 325 Japanese,1634,238,185.6,215.5,287.99,,"216, 202, 175, 175, 160",,IN_STOCK,,,,warehouse,
126652455,PSA,PSA 10 Blk En-black Bolt Kyurem SIR 165,3663,179.99,136.4,141.77,175,,"142, 155, 123, 130, 132",,IN_STOCK,,,,warehouse,
134922417,PSA,PSA 10 Pre En-prismatic Evolutions Flareon SIR 146,2734,750,634.98,625,800,,"625, 600, 650, 650, 650",,IN_STOCK,,,,warehouse,
99444089,PSA,PSA 10 Swsh Black Star Promo Rayquaza 029,600,360,281.25,300,350,,"300, 390, 235, 200, 210",,IN_STOCK,,,,warehouse,
130084073,PSA,PSA 10 Time Gazer Machamp 073 Japanese,4186,129,112.26,123.5,,,"124, 120, 80, 120, 118; JP $118",,IN_STOCK,,,,warehouse,
139409801,PSA,PSA 9 Charizard Half Deck Charizard 1st Ed 002 Japanese,398,492,481.94,500,,,"500, 464, 500, 500, 425",,IN_STOCK,,,,warehouse,
153930630,PSA,PSA 10 Sun & Moon Celestial Storm Rayquaza 177a,9079,800,786.69,800,,,"800, 800, 790, 711, 832",,IN_STOCK,,,,warehouse,
146619948,PSA,PSA 10 Sun & Moon Hidden Fates Umbreon SV69,6707,946.61,1147.8,965,,,"965, 1425, 1199, 1100, 1050",,IN_STOCK,,,,warehouse,
142245458,PSA,PSA 10 Nami OP08-106 Alternate ART,923,,99.5,105,99,,"105, 125, 70, 92, 106",,IN_STOCK,,,,warehouse,
97815155,PSA,PSA 10 Call Of Legends Lightning 91 POP 70,70,422,250.78,350,349.99,349.99,"🏆 LV is cheapest. 350, 210, 192, 315, 260; rare pop 70",18,EBAY LISTED,2026-04-27,,,warehouse,
55630352,PSA,PSA 10 Vs Karen's 1st Ed 092 Japanese,233,625,750,900,1488.88,,"900, 600, 360, 725, 550",,IN_STOCK,,,,warehouse,
44180331,PSA,PSA 9 EX Delta Species Kyogre 112,280,5303.32,5500,5500,,,"5500, 5800, 6100, 6500, 4750",,IN_STOCK,,,,warehouse,
57551964,PSA,PSA 10 Sm Promo Chry.blsm.afr.pikachu 211 Japanese,2909,1950,2322.31,2358,,,"2358, 2385, 2300, 2325, 2244",,IN_STOCK,,,,warehouse,
130084072,PSA,PSA 9 Remix Bout Blasts. 070 Japanese,712,,235.09,299.99,,,"300, 170, 275, 200, 180",,IN_STOCK,,,,warehouse,
79450996,PSA,PSA 10 Platinum Supreme Victors Empoleon 27 POP 165,165,203,170.65,170,450,499.99,"170, 192, 150, 75, 125",9,EBAY LISTED,2026-05-05,,,warehouse,
49884954,PSA,PSA 10 Promo Beautifly 005 POP 5 Japanese,5,27,177.83,372,,,"372, 122, 40; rare pop 5",,IN_STOCK,,,,warehouse,
40745061,PSA,PSA 10 Call Of Legends Bayleef 40 POP 8,8,,2000,2000,,,"2000, 410, 450, 122, 186; rare pop 8",,IN_STOCK,,,,warehouse,
42467479,PSA,PSA 10 Promo Cosplay 99 Japanese,1170,2225.54,2673.35,2716.69,2999.99,,"2717, 2630, 2880, 2650, 2950",,IN_STOCK,,,,warehouse,
127074022,PSA,PSA 10 EX Hidden Legends Groudon 93 POP 134,134,3332,3172.77,3146.32,6999,19999.99,"3146, 2900, 3472, 3570, 3501",17,EBAY LISTED,2026-04-27,,,warehouse,
146808193,PSA,PSA 10 Black Bolt Snivy 087 Japanese,1018,400,52.6,60,74.95,,"60, 55, 45, 50, 53; JP $43",,IN_STOCK,,,,warehouse,
112500227,PSA,PSA 10 Jtg En-journey Together Volcanion SIR 182,1221,90,88.36,85,99.99,,"85, 80, 100, 95, 82",,IN_STOCK,,,,warehouse,
152506399,PSA,PSA 10 Pfl En-phantasmal Flames Piplup IR 098,4346,161,169.88,170,175,,"170, 170, 179, 170, 160",,IN_STOCK,,,,warehouse,
106518128,PSA,PSA 10 Ssp En-surging Sparks Hydreigon SIR 240,3453,115.33,115.31,125,130,,"125, 110, 101, 115, 126",,IN_STOCK,,,,warehouse,
119739518,PSA,PSA 10 Svp En-sv Black Star Promo Snorlax 051,10816,293.99,269.6,265,285,,"265, 260, 248, 275, 300",,IN_STOCK,,,,warehouse,
133418403,PSA,PSA 10 Xy Steam Siege M 109,656,261.11,263.88,295,294.95,,"295, 260, 270, 230, 260",,IN_STOCK,,,,warehouse,
26348302,PSA,PSA 10 Undone Seal Wigglytuff 058 POP 33 Japanese,33,411,170.99,183.99,,,"184, 179, 150, 110, 132; rare pop 33",,IN_STOCK,,,,warehouse,
113220787,PSA,PSA 9 Movie Commemoration Vs Pack Sky Japanese,316,9200,12000,12000,,,"12000, 11601, 12300, 12600, 15000",,IN_STOCK,,,,warehouse,
152422275,PSA,PSA 10 Mega Dream EX mega Dragonite SAR 246 Japanese,8412,650,623.4,650,619.99,,"650, 615, 611, 620, 621; JP $457",,IN_STOCK,,,,warehouse,
137037013,PSA,PSA 10 Sword & Shield Astral Radiance Orgn.frm.palkia 167,5485,375,334.6,334.99,380,,"335, 350, 325, 325, 338",,IN_STOCK,,,,warehouse,
137037012,PSA,PSA 10 Sword & Shield Astral Radiance Orgn.frm.dialga 177,5317,182.5,193,200,,,"200, 190, 190, 200, 185",,IN_STOCK,,,,warehouse,
152506395,PSA,PSA 10 Mega Dream EX Canari SAR 248 Japanese,1764,137.5,140.1,149,160,,"149, 155, 128, 134, 134; JP $157",,IN_STOCK,,,,warehouse,
152506393,PSA,PSA 10 Mega Dream EX mega Scrafty SAR 241 Japanese,868,80,71.84,80,94.99,,"80, 76, 81, 66, 56; JP $51",,IN_STOCK,,,,warehouse,
